Linux 5.4.0-100-generic (ubuntu)        09/03/22        _x86_64_        (3 CPU)

12:00:01 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:05:01 AM IST     all      0.14      0.02      0.09      0.90      0.19     98.67
12:15:01 AM IST     all      0.10      0.00      0.06      0.18      0.19     99.47
12:25:01 AM IST     all      0.08      0.00      0.03      0.19      0.19     99.50
12:35:01 AM IST     all      0.08      0.00      0.03      0.17      0.19     99.52
12:45:01 AM IST     all      0.09      0.00      0.06      0.18      0.19     99.48
12:55:01 AM IST     all      0.08      0.00      0.03      0.17      0.19     99.53
01:05:01 AM IST     all      0.10      0.00      0.04      0.18      0.20     99.49
01:15:01 AM IST     all      0.08      0.00      0.06      0.18      0.19     99.49
01:25:01 AM IST     all      0.08      0.00      0.03      0.20      0.20     99.49
01:35:01 AM IST     all      0.08      0.00      0.04      0.17      0.19     99.53
01:45:01 AM IST     all      0.10      0.00      0.05      0.19      0.19     99.46
01:55:01 AM IST     all      0.08      0.00      0.04      0.17      0.19     99.51
02:05:01 AM IST     all      0.08      0.00      0.03      0.21      0.19     99.48
02:15:01 AM IST     all      0.10      0.00      0.06      0.20      0.19     99.44
02:25:01 AM IST     all      0.09      0.00      0.04      0.18      0.19     99.51
02:35:01 AM IST     all      0.08      0.00      0.04      0.17      0.19     99.52
02:45:01 AM IST     all      0.09      0.00      0.05      0.18      0.19     99.48
02:55:01 AM IST     all      0.13      0.00      0.08      0.20      0.20     99.39
03:05:01 AM IST     all      0.09      0.00      0.04      0.17      0.20     99.50
03:15:01 AM IST     all      0.12      0.00      0.07      0.20      0.20     99.42
03:25:01 AM IST     all      0.50      0.39      0.18      0.77      0.20     97.95
03:35:01 AM IST     all      0.09      0.00      0.04      0.17      0.19     99.51
03:45:01 AM IST     all      0.10      0.00      0.05      0.16      0.19     99.49
03:55:01 AM IST     all      0.09      0.00      0.03      0.15      0.19     99.55
04:05:01 AM IST     all      0.08      0.00      0.04      0.20      0.19     99.49
04:15:01 AM IST     all      0.09      0.00      0.06      0.15      0.20     99.50
04:25:01 AM IST     all      0.08      0.00      0.04      0.18      0.19     99.51
04:35:01 AM IST     all      0.09      0.00      0.03      0.18      0.19     99.52
04:45:01 AM IST     all      0.10      0.00      0.06      0.21      0.19     99.43
04:55:01 AM IST     all      0.14      0.00      0.05      0.20      0.19     99.42
05:05:01 AM IST     all      0.08      0.00      0.04      0.16      0.19     99.54
05:15:01 AM IST     all      0.09      0.00      0.06      0.16      0.19     99.50
05:25:01 AM IST     all      0.08      0.00      0.05      0.19      0.19     99.49
05:35:01 AM IST     all      0.07      0.00      0.04      0.16      0.19     99.54
05:45:01 AM IST     all      0.11      0.00      0.05      0.17      0.19     99.48
05:55:01 AM IST     all      0.08      0.00      0.03      0.17      0.19     99.52
06:05:01 AM IST     all      0.08      0.00      0.04      0.16      0.19     99.52
06:15:01 AM IST     all      0.32      0.32      0.15      0.57      0.20     98.45
06:25:01 AM IST     all      0.08      0.00      0.04      0.18      0.20     99.51
06:35:01 AM IST     all      0.09      0.00      0.04      0.19      0.19     99.49
06:45:01 AM IST     all      0.11      0.00      0.06      0.21      0.19     99.43
06:55:01 AM IST     all      0.08      0.00      0.03      0.17      0.19     99.53
